,state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked,tested_1
1,AL,138.0,1.0,1.0,0.0,0.0,C,2.0,1464.0,,,0.0,1602,3/22 10:37,3/22 16:00,2020-03-22T14:37:00Z,2020-03-22T20:00:00Z,1602.0
2,AR,165.0,1.0,1.0,1.0,1.0,A,4.0,711.0,119.0,13.0,0.0,995,3/22 13:45,3/22 15:15,2020-03-22T17:45:00Z,2020-03-22T19:15:00Z,876.0
3,AZ,152.0,1.0,1.0,1.0,0.0,B,3.0,282.0,87.0,,2.0,521,3/22 00:00,3/22 16:01,2020-03-22T04:00:00Z,2020-03-22T20:01:00Z,434.0
4,CA,1536.0,1.0,1.0,1.0,0.0,B,3.0,11304.0,,,27.0,12840,3/22 13:34,3/22 14:41,2020-03-22T17:34:00Z,2020-03-22T18:41:00Z,12840.0
5,CO,475.0,1.0,1.0,1.0,1.0,A,4.0,4075.0,,49.0,5.0,4550,3/21 18:00,3/22 16:02,2020-03-21T22:00:00Z,2020-03-22T20:02:00Z,4550.0
6,CT,223.0,1.0,1.0,1.0,1.0,A,4.0,2877.0,,43.0,5.0,3100,3/21 19:30,3/22 16:51,2020-03-21T23:30:00Z,2020-03-22T20:51:00Z,3100.0
7,DC,98.0,1.0,1.0,1.0,1.0,A,4.0,957.0,,,1.0,1055,3/21 19:30,3/22 16:23,2020-03-21T23:30:00Z,2020-03-22T20:23:00Z,1055.0
8,DE,56.0,1.0,1.0,0.0,0.0,C,2.0,36.0,,,0.0,92,3/22 16:15,3/22 16:52,2020-03-22T20:15:00Z,2020-03-22T20:52:00Z,92.0
9,FL,830.0,1.0,1.0,1.0,1.0,A,4.0,7990.0,963.0,185.0,13.0,9783,3/22 11:00,3/22 16:26,2020-03-22T15:00:00Z,2020-03-22T20:26:00Z,8820.0
10,GA,600.0,1.0,1.0,1.0,1.0,A,4.0,3420.0,,,23.0,4020,3/22 12:00,3/22 16:28,2020-03-22T16:00:00Z,2020-03-22T20:28:00Z,4020.0
13,ID,42.0,1.0,1.0,1.0,1.0,A,4.0,1175.0,,,0.0,1217,3/21 19:55,3/22 16:32,2020-03-21T23:55:00Z,2020-03-22T20:32:00Z,1217.0
14,IL,1058.0,1.0,1.0,1.0,1.0,A,4.0,7271.0,,,9.0,8329,3/22 00:00,3/22 16:34,2020-03-22T04:00:00Z,2020-03-22T20:34:00Z,8329.0
15,IN,201.0,1.0,1.0,1.0,0.0,B,3.0,1293.0,,1.0,6.0,1494,3/13 00:59,3/22 16:35,2020-03-13T04:59:00Z,2020-03-22T20:35:00Z,1494.0
16,KS,64.0,1.0,1.0,1.0,0.0,B,3.0,417.0,,,2.0,481,3/21 11:00,3/22 16:37,2020-03-21T15:00:00Z,2020-03-22T20:37:00Z,481.0
17,KY,99.0,1.0,1.0,1.0,1.0,A,4.0,1472.0,,,3.0,1571,3/22 09:00,3/22 16:38,2020-03-22T13:00:00Z,2020-03-22T20:38:00Z,1571.0
18,LA,837.0,1.0,1.0,1.0,1.0,B,4.0,2661.0,,,20.0,3498,3/22 10:00,3/22 16:38,2020-03-22T14:00:00Z,2020-03-22T20:38:00Z,3498.0
19,MA,646.0,1.0,1.0,0.0,1.0,B,3.0,5482.0,,71.0,5.0,6128,3/22 16:00,3/22 16:56,2020-03-22T20:00:00Z,2020-03-22T20:56:00Z,6128.0
20,MD,244.0,1.0,0.0,0.0,0.0,D,1.0,94.0,,,3.0,338,3/22 10:00,3/22 16:40,2020-03-22T14:00:00Z,2020-03-22T20:40:00Z,338.0
22,MI,1035.0,1.0,0.0,0.0,0.0,D,1.0,2069.0,,,8.0,3104,3/22 15:00,3/22 16:19,2020-03-22T19:00:00Z,2020-03-22T20:19:00Z,3104.0
23,MN,169.0,1.0,1.0,1.0,1.0,A,4.0,4511.0,,12.0,1.0,4680,3/21 12:10,3/22 16:47,2020-03-21T16:10:00Z,2020-03-22T20:47:00Z,4680.0
24,MO,90.0,1.0,1.0,0.0,0.0,C,2.0,369.0,,,3.0,459,3/21 22:00,3/22 15:38,2020-03-22T02:00:00Z,2020-03-22T19:38:00Z,459.0
25,MS,207.0,1.0,1.0,1.0,0.0,B,3.0,1114.0,,33.0,1.0,1321,3/22 11:20,3/22 15:30,2020-03-22T15:20:00Z,2020-03-22T19:30:00Z,1321.0
27,NC,255.0,1.0,1.0,1.0,1.0,A,4.0,6183.0,,,0.0,6438,3/22 10:16,3/22 16:44,2020-03-22T14:16:00Z,2020-03-22T20:44:00Z,6438.0
28,ND,28.0,1.0,1.0,1.0,0.0,B,3.0,1260.0,,3.0,0.0,1288,3/22 11:39,3/22 15:41,2020-03-22T15:39:00Z,2020-03-22T19:41:00Z,1288.0
29,NE,48.0,1.0,1.0,1.0,1.0,A,4.0,356.0,,,0.0,404,3/21 00:00,3/22 16:44,2020-03-21T04:00:00Z,2020-03-22T20:44:00Z,404.0
31,NJ,1914.0,1.0,1.0,1.0,0.0,B,3.0,327.0,49.0,,20.0,2290,3/22 13:30,3/22 16:43,2020-03-22T17:30:00Z,2020-03-22T20:43:00Z,2241.0
33,NV,190.0,1.0,1.0,1.0,1.0,A,4.0,2448.0,,,2.0,2638,3/21 14:00,3/22 16:41,2020-03-21T18:00:00Z,2020-03-22T20:41:00Z,2638.0
